year,explicit,number,percentage,yr_num
1921,0,121,1.0,1921
1922,0,72,1.0,1922
1923,0,169,1.0,1923
1924,0,237,1.0,1924
1925,0,263,1.0,1925
1926,0,655,1.0,1926
1927,0,584,1.0,1927
1928,0,1183,1.0,1928
1929,0,494,1.0,1929
1930,0,1806,1.0,1930
1931,0,633,1.0,1931
1932,0,479,1.0,1932
1933,0,620,0.998389694041868,1933
1934,0,554,1.0,1934
1935,0,1285,1.0,1935
1936,0,1050,1.0,1936
1937,0,589,1.0,1937
1938,0,576,1.0,1938
1939,0,999,1.0,1939
1940,0,1609,1.0,1940
1941,0,956,1.0,1941
1942,0,1649,1.0,1942
1943,0,634,1.0,1943
1944,0,768,1.0,1944
1945,0,1464,1.0,1945
1946,0,1502,1.0,1946
1947,0,1579,1.0,1947
1948,0,1868,1.0,1948
1949,0,2000,1.0,1949
1950,0,1894,1.0,1950
1951,0,1995,1.0,1951
1952,0,1946,1.0,1952
1953,0,1944,1.0,1953
1954,0,2000,1.0,1954
1955,0,1998,1.0,1955
1956,0,1999,1.0,1956
1957,0,2000,1.0,1957
1958,0,2000,1.0,1958
1959,0,2000,1.0,1959
1960,0,1999,1.0,1960
1961,0,2000,1.0,1961
1962,0,2000,1.0,1962
1963,0,1999,0.9995,1963
1964,0,1997,1.0,1964
1965,0,1996,0.9984992496248124,1965
1966,0,1998,1.0,1966
1967,0,1999,0.9995,1967
1968,0,2000,1.0,1968
1969,0,1996,1.0,1969
1970,0,1999,0.9995,1970
1971,0,1999,0.9995,1971
1972,0,1996,0.998,1972
1973,0,1997,0.9989994997498749,1973
1974,0,1998,0.999,1974
1975,0,1988,0.9994972347913524,1975
1976,0,1998,0.999,1976
1977,0,1990,0.995,1977
1978,0,1984,0.992992992992993,1978
1979,0,1986,0.9964877069744105,1979
1980,0,1987,0.9939969984992496,1980
1981,0,1974,0.987,1981
1982,0,1946,0.9778894472361809,1982
1983,0,1968,0.9909365558912386,1983
1984,0,1966,0.983,1984
1985,0,1951,0.9769654481722584,1985
1986,0,1965,0.9834834834834835,1986
1987,0,1933,0.973313192346425,1987
1988,0,1885,0.9429714857428715,1988
1989,0,1927,0.9635,1989
1990,0,1909,0.9545,1990
1991,0,1881,0.9405,1991
1992,0,1816,0.908,1992
1993,0,1824,0.912,1993
1994,0,1730,0.865,1994
1995,0,1729,0.8645,1995
1996,0,1677,0.8385,1996
1997,0,1740,0.87,1997
1998,0,1653,0.8265,1998
1999,0,1668,0.834,1999
2000,0,1684,0.842,2000
2001,0,1652,0.8272408612919379,2001
2002,0,1771,0.8855,2002
2003,0,1731,0.8655,2003
2004,0,1690,0.845,2004
2005,0,1654,0.8274137068534267,2005
2006,0,1753,0.8765,2006
2007,0,1751,0.8746253746253746,2007
2008,0,1766,0.883,2008
2009,0,1689,0.8445,2009
2010,0,1699,0.8495,2010
2011,0,1642,0.821,2011
2012,0,1594,0.7977977977977978,2012
2013,0,1496,0.748,2013
2014,0,1542,0.771,2014
2015,0,1403,0.7265665458311755,2015
2016,0,1313,0.6668359573387507,2016
2017,0,1302,0.6506746626686657,2017
2018,0,1065,0.5280118988596926,2018
2019,0,1152,0.5748502994011976,2019
2020,0,891,0.4977653631284916,2020
