year,key,number,percentage
1921,0,13,0.10743801652892562
1921,1,10,0.08264462809917356
1921,2,15,0.12396694214876033
1921,3,9,0.0743801652892562
1921,4,6,0.049586776859504134
1921,5,15,0.12396694214876033
1921,6,9,0.0743801652892562
1921,7,13,0.10743801652892562
1921,8,7,0.05785123966942149
1921,9,9,0.0743801652892562
1921,10,8,0.06611570247933884
1921,11,7,0.05785123966942149
1922,0,7,0.09722222222222222
1922,1,8,0.1111111111111111
1922,2,4,0.05555555555555555
1922,3,3,0.041666666666666664
1922,4,9,0.125
1922,5,7,0.09722222222222222
1922,6,3,0.041666666666666664
1922,7,9,0.125
1922,8,9,0.125
1922,9,3,0.041666666666666664
1922,10,9,0.125
1922,11,1,0.013888888888888888
1923,0,23,0.13609467455621302
1923,1,14,0.08284023668639054
1923,2,13,0.07692307692307693
1923,3,18,0.10650887573964497
1923,4,12,0.07100591715976332
1923,5,22,0.1301775147928994
1923,6,9,0.05325443786982249
1923,7,16,0.09467455621301775
1923,8,13,0.07692307692307693
1923,9,3,0.01775147928994083
1923,10,16,0.09467455621301775
1923,11,10,0.05917159763313609
1924,0,28,0.11814345991561181
1924,1,9,0.0379746835443038
1924,2,19,0.08016877637130802
1924,3,17,0.07172995780590717
1924,4,12,0.05063291139240506
1924,5,31,0.1308016877637131
1924,6,10,0.04219409282700422
1924,7,23,0.0970464135021097
1924,8,29,0.12236286919831224
1924,9,15,0.06329113924050633
1924,10,37,0.15611814345991562
1924,11,7,0.029535864978902954
1925,0,30,0.11406844106463879
1925,1,18,0.06844106463878327
1925,2,19,0.07224334600760456
1925,3,18,0.06844106463878327
1925,4,19,0.07224334600760456
1925,5,42,0.1596958174904943
1925,6,19,0.07224334600760456
1925,7,28,0.10646387832699619
1925,8,21,0.07984790874524715
1925,9,14,0.053231939163498096
1925,10,25,0.09505703422053231
1925,11,10,0.03802281368821293
1926,0,70,0.10687022900763359
1926,1,53,0.08091603053435115
1926,2,53,0.08091603053435115
1926,3,61,0.09312977099236641
1926,4,45,0.06870229007633588
1926,5,88,0.13435114503816795
1926,6,32,0.04885496183206107
1926,7,51,0.07786259541984733
1926,8,78,0.11908396946564885
1926,9,47,0.0717557251908397
1926,10,43,0.06564885496183206
1926,11,34,0.051908396946564885
1927,0,51,0.08732876712328767
1927,1,35,0.059931506849315065
1927,2,55,0.09417808219178082
1927,3,50,0.08561643835616438
1927,4,50,0.08561643835616438
1927,5,73,0.125
1927,6,37,0.06335616438356165
1927,7,73,0.125
1927,8,44,0.07534246575342465
1927,9,48,0.0821917808219178
1927,10,33,0.05650684931506849
1927,11,35,0.059931506849315065
1928,0,90,0.0760777683854607
1928,1,148,0.12510566356720204
1928,2,87,0.073541842772612
1928,3,99,0.08368554522400676
1928,4,72,0.060862214708368556
1928,5,124,0.10481825866441251
1928,6,71,0.060016906170752324
1928,7,122,0.10312764158918004
1928,8,84,0.07100591715976332
1928,9,79,0.06677937447168217
1928,10,130,0.10989010989010989
1928,11,77,0.0650887573964497
1929,0,61,0.12348178137651822
1929,1,20,0.04048582995951417
1929,2,71,0.1437246963562753
1929,3,26,0.05263157894736842
1929,4,42,0.08502024291497975
1929,5,46,0.0931174089068826
1929,6,21,0.04251012145748988
1929,7,90,0.18218623481781376
1929,8,17,0.03441295546558704
1929,9,45,0.09109311740890688
1929,10,28,0.05668016194331984
1929,11,27,0.05465587044534413
1930,0,152,0.08416389811738649
1930,1,147,0.08139534883720931
1930,2,192,0.10631229235880399
1930,3,151,0.08361018826135105
1930,4,138,0.07641196013289037
1930,5,184,0.10188261351052048
1930,6,141,0.07807308970099668
1930,7,178,0.09856035437430787
1930,8,157,0.08693244739756367
1930,9,143,0.07918050941306755
