year,mode,number,percentage
1921,0,41,0.33884297520661155
1921,1,80,0.6611570247933884
1922,0,27,0.375
1922,1,45,0.625
1923,0,38,0.22485207100591717
1923,1,131,0.7751479289940828
1924,0,59,0.2489451476793249
1924,1,178,0.7510548523206751
1925,0,74,0.2813688212927757
1925,1,189,0.7186311787072244
1926,0,179,0.2732824427480916
1926,1,476,0.7267175572519083
1927,0,199,0.3407534246575342
1927,1,385,0.6592465753424658
1928,0,354,0.2992392223161454
1928,1,829,0.7007607776838546
1929,0,130,0.2631578947368421
1929,1,364,0.7368421052631579
1930,0,580,0.3211517165005537
1930,1,1226,0.6788482834994463
1931,0,203,0.320695102685624
1931,1,430,0.6793048973143759
1932,0,124,0.2588726513569937
1932,1,355,0.7411273486430062
1933,0,174,0.28019323671497587
1933,1,447,0.7198067632850241
1934,0,146,0.26353790613718414
1934,1,408,0.7364620938628159
1935,0,367,0.2856031128404669
1935,1,918,0.7143968871595331
1936,0,348,0.3314285714285714
1936,1,702,0.6685714285714286
1937,0,171,0.2903225806451613
1937,1,418,0.7096774193548387
1938,0,135,0.234375
1938,1,441,0.765625
1939,0,276,0.27627627627627627
1939,1,723,0.7237237237237237
1940,0,569,0.3536357986326911
1940,1,1040,0.6463642013673089
1941,0,294,0.3075313807531381
1941,1,662,0.6924686192468619
1942,0,442,0.26804123711340205
1942,1,1207,0.7319587628865979
1943,0,177,0.27917981072555204
1943,1,457,0.7208201892744479
1944,0,269,0.3502604166666667
1944,1,499,0.6497395833333334
1945,0,394,0.2691256830601093
1945,1,1070,0.7308743169398907
1946,0,447,0.29760319573901467
1946,1,1055,0.7023968042609854
1947,0,433,0.27422419252691577
1947,1,1146,0.7257758074730842
1948,0,604,0.3233404710920771
1948,1,1264,0.6766595289079229
1949,0,532,0.266
1949,1,1468,0.734
1950,0,583,0.3078141499472017
1950,1,1311,0.6921858500527983
1951,0,517,0.25914786967418546
1951,1,1478,0.7408521303258145
1952,0,502,0.2579650565262076
1952,1,1444,0.7420349434737924
1953,0,510,0.2623456790123457
